job_title,company,location,employment_type,experience,salary,team_size,interview_rounds,required_skills,nice_to_have,perks,domain
Talent Acquisition Specialist,Apple,Hyderabad / Remote,Full-Time,9+ years,₹12–40 LPA,~31,6,"Talent Acquisition, SuccessFactors, Labor Law, HRIS, Employee Relations, LinkedIn Recruiter","HR Analytics, Training & Development, Payroll","Mental health support, Health & dental insurance, Annual performance bonus, MacBook Pro",Human Resources
Principal Engineer,Goldman Sachs,Hyderabad / Remote,Full-Time,8+ years,₹23–41 LPA,~21,4,"Java, Rust, Vue.js, Redis, GCP, SQL, gRPC, Kafka","Angular, Spring Boot, GitHub Actions","Remote-first culture, Mental health support, Annual performance bonus, ESOPs",Software Engineering
Senior PM,Tech Mahindra,Gurgaon / Remote,Full-Time,5+ years,₹8–53 LPA,~39,5,"Scrum, Product Analytics, Figma, Agile, User Research, Competitive Analysis","Miro, Customer Discovery, Wireframing","Gym membership, MacBook Pro, Maternity/paternity leave, Annual performance bonus, Health & dental insurance, Remote-first culture",Product Management
AI Engineer,Zoho,Kolkata / Remote,Full-Time,3+ years,₹17–32 LPA,~18,6,"Keras, Hadoop, Redshift, Computer Vision, PostgreSQL, Hive, Kubeflow, Spark","Pandas, Tableau, NLP","Gym membership, Quarterly offsites, Remote-first culture, Flexible work hours",Data Science
Design Lead,PhonePe,Kolkata / Remote,Full-Time,7+ years,₹20–65 LPA,~6,6,"Framer, HTML/CSS, Card Sorting, User Research, Visual Design, InVision","Interaction Design, Accessibility (WCAG), Information Architecture","Mental health support, Annual performance bonus, ₹50K learning budget, Maternity/paternity leave, Remote-first culture",UI/UX Design
Staff Engineer,Paytm,Noida / Remote,Full-Time,8+ years,₹15–54 LPA,~31,6,"Django, Kafka, Jenkins, Redis, System Design, C++, PostgreSQL, Linux, AWS, Microservices","Vue.js, Terraform, gRPC","Health & dental insurance, Free meals, MacBook Pro, Mental health support",Software Engineering
Financial Analyst,PhonePe,Ahmedabad / Remote,Full-Time,4+ years,₹24–57 LPA,~27,5,"DCF Analysis, GAAP, CFA, Risk Analysis, SAP, Tally, Cash Flow Management, Financial Modeling, Due Diligence, VBA","FP&A, LBO Modeling, Credit Analysis","₹50K learning budget, Health & dental insurance, Remote-first culture, Gym membership, Free meals",Finance
Design Lead,Capgemini,Hyderabad / Remote,Full-Time,8+ years,₹13–43 LPA,~13,4,"Storyboarding, Heuristic Evaluation, Wireframing, InVision, Usability Testing, Visual Design","Sketch, User Flows, Prototyping","Maternity/paternity leave, MacBook Pro, Annual performance bonus, Health & dental insurance, ESOPs, ₹50K learning budget",UI/UX Design
Credit Analyst,Lenskart,Kochi / Remote,Full-Time,7+ years,₹16–49 LPA,~11,4,"QuickBooks, Oracle Financials, CFA, Accounting, SAP, Credit Analysis, Cash Flow Management, VBA","DCF Analysis, FP&A, GAAP","Quarterly offsites, Mental health support, ₹50K learning budget, Gym membership, MacBook Pro, Remote-first culture",Finance
Associate PM,Atlassian,Mumbai / Remote,Full-Time,8+ years,₹14–49 LPA,~30,4,"Competitive Analysis, Mixpanel, Figma, OKRs, Python, Feature Prioritisation, A/B Testing, Kanban","Wireframing, Miro, User Research","Flexible work hours, MacBook Pro, Mental health support, Remote-first culture, Health & dental insurance",Product Management
Finance Manager,Freshworks,Chennai / Remote,Full-Time,2+ years,₹19–68 LPA,~32,5,"DCF Analysis, Credit Analysis, IFRS, Accounting, Cash Flow Management, FP&A, Investment Banking, SAP","Risk Analysis, LBO Modeling, Financial Reporting","Gym membership, Maternity/paternity leave, Flexible work hours, Health & dental insurance, Annual performance bonus",Finance
HR Generalist,Accenture,Ahmedabad / Remote,Full-Time,3+ years,₹16–51 LPA,~11,5,"Diversity & Inclusion, Workday, Employee Relations, Payroll, Employer Branding, SAP HR","HRIS, Organisational Development, HR Analytics","Flexible work hours, Gym membership, Free meals, ESOPs, Remote-first culture, MacBook Pro",Human Resources
CHRO,upGrad,Gurgaon / Remote,Full-Time,3+ years,₹10–55 LPA,~33,6,"Succession Planning, Workday, Onboarding, Employer Branding, HR Analytics, LinkedIn Recruiter, Diversity & Inclusion","HRIS, Change Management, Compensation & Benefits","Gym membership, Free meals, Flexible work hours, Quarterly offsites",Human Resources
Finance Manager,Paytm,Chennai / Remote,Full-Time,7+ years,₹16–57 LPA,~19,5,"Auditing, Due Diligence, Equity Research, Tax Compliance, Financial Reporting, CA, Budgeting, Risk Analysis","IFRS, Investment Banking, Cash Flow Management","Gym membership, MacBook Pro, Annual performance bonus, Remote-first culture, Free meals",Finance
SOC Analyst,PhonePe,Kochi / Remote,Full-Time,8+ years,₹21–49 LPA,~9,3,"Zero Trust, Splunk, Python, DLP, Network Security, CISSP, Bash, Wireshark","OWASP Top 10, OSCP, Incident Response","₹50K learning budget, Flexible work hours, Health & dental insurance, Quarterly offsites, Remote-first culture",Cybersecurity
Growth PM,SAP,Pune / Remote,Full-Time,8+ years,₹28–72 LPA,~40,5,"Amplitude, RICE Framework, Figma, Competitive Analysis, MoSCoW, PRD Writing, Agile, KPIs, Product Analytics, A/B Testing","Customer Discovery, Confluence, User Research","Annual performance bonus, ESOPs, MacBook Pro, ₹50K learning budget, Gym membership",Product Management
Growth Manager,SAP,Hyderabad / Remote,Full-Time,4+ years,₹26–44 LPA,~6,5,"Meta Ads, Programmatic Advertising, Conversion Rate Optimisation, Google Ads, Video Marketing, Adobe Suite, LinkedIn Ads, Marketo, PPC","Affiliate Marketing, Market Research, Content Marketing","MacBook Pro, Annual performance bonus, Quarterly offsites, Health & dental insurance",Marketing
NLP Engineer,Uber,Chennai / Remote,Full-Time,1+ years,₹14–64 LPA,~14,4,"Statistics, Computer Vision, Kubeflow, Looker, Hypothesis Testing, Hive, XGBoost","A/B Testing, Scikit-learn, Redshift","Mental health support, Gym membership, Remote-first culture, Quarterly offsites, Annual performance bonus",Data Science
Performance Marketer,Unilever,Bangalore / Remote,Full-Time,4+ years,₹23–65 LPA,~29,6,"Video Marketing, SEO, Google Ads, Brand Strategy, HubSpot, Conversion Rate Optimisation, Programmatic Advertising","PR, CRM, Marketing Automation","₹50K learning budget, Mental health support, Health & dental insurance, Quarterly offsites, Maternity/paternity leave",Marketing
HR Generalist,Netflix,Kochi / Remote,Full-Time,4+ years,₹24–57 LPA,~14,5,"Employee Relations, Workforce Planning, Conflict Resolution, Change Management, Talent Acquisition, SuccessFactors, Onboarding, Training & Development","Diversity & Inclusion, Compensation & Benefits, Exit Management","Health & dental insurance, ₹50K learning budget, Quarterly offsites, Free meals, Mental health support, Annual performance bonus",Human Resources
Product Designer,upGrad,Ahmedabad / Remote,Full-Time,8+ years,₹9–59 LPA,~5,5,"Usability Testing, Zeplin, Design Thinking, Sketch, Principle, Visual Design","Figma, Motion Design, Accessibility (WCAG)","MacBook Pro, Maternity/paternity leave, Mental health support, ₹50K learning budget, Gym membership",UI/UX Design
NLP Engineer,PwC,Mumbai / Remote,Full-Time,2+ years,₹18–50 LPA,~37,4,"Keras, Transformers, Python, NLP, NumPy, Kubeflow, R, Hadoop, PostgreSQL","Feature Engineering, Airflow, Looker","₹50K learning budget, Annual performance bonus, Free meals, Flexible work hours",Data Science
Financial Analyst,Amazon,Kochi / Remote,Full-Time,2+ years,₹18–36 LPA,~11,4,"Investment Banking, Financial Modeling, GAAP, CFA, M&A, VBA, Oracle Financials","Excel, Due Diligence, Credit Analysis","Remote-first culture, ESOPs, ₹50K learning budget, Gym membership, Quarterly offsites",Finance
Senior Data Scientist,CRED,Pune / Remote,Full-Time,4+ years,₹28–58 LPA,~32,3,"Looker, NLP, Hypothesis Testing, Keras, MLflow, TensorFlow, Spark, XGBoost, Power BI","BigQuery, Statistics, Airflow","MacBook Pro, Maternity/paternity leave, Mental health support, Health & dental insurance, Remote-first culture",Data Science
Platform PM,Morgan Stanley,Hyderabad / Remote,Full-Time,2+ years,₹24–43 LPA,~25,5,"Feature Prioritisation, Amplitude, Kanban, Mixpanel, MoSCoW, Growth Hacking, Stakeholder Management","Miro, KPIs, Figma","ESOPs, Mental health support, Maternity/paternity leave, Quarterly offsites, ₹50K learning budget, Annual performance bonus",Product Management
Recruiter,Meesho,Jaipur / Remote,Full-Time,6+ years,₹14–55 LPA,~12,6,"HRMS, Exit Management, LinkedIn Recruiter, HRIS, Employer Branding, Conflict Resolution, Performance Management, Payroll, Talent Acquisition","Workforce Planning, Change Management, Employee Relations","Quarterly offsites, Annual performance bonus, Free meals, Mental health support, MacBook Pro, Flexible work hours",Human Resources
NLP Engineer,Google,Pune / Remote,Full-Time,1+ years,₹18–47 LPA,~38,4,"Hypothesis Testing, Power BI, Pandas, Kafka, Computer Vision, Hadoop, LightGBM, PostgreSQL","XGBoost, Looker, Scikit-learn","Maternity/paternity leave, Flexible work hours, Free meals, Gym membership, ESOPs, Annual performance bonus",Data Science
Security Engineer,Goldman Sachs,Ahmedabad / Remote,Full-Time,6+ years,₹19–69 LPA,~39,6,"Splunk, OSCP, CISSP, SIEM, Metasploit, ISO 27001, Penetration Testing, NIST Framework","Network Security, DLP, SOC Operations","Annual performance bonus, MacBook Pro, Free meals, ESOPs, Health & dental insurance, Mental health support",Cybersecurity
DevOps Engineer,Google,Jaipur / Remote,Full-Time,7+ years,₹15–25 LPA,~15,4,"Vault, GitLab CI, Helm, New Relic, Pulumi, Docker","GKE, Loki, CloudFormation","Annual performance bonus, ₹50K learning budget, Free meals, Health & dental insurance, Mental health support, Flexible work hours",DevOps
Head of HR,EY,Kochi / Remote,Full-Time,4+ years,₹29–76 LPA,~7,6,"Diversity & Inclusion, Workforce Planning, Onboarding, Exit Management, HR Analytics, Talent Acquisition, Succession Planning","Workday, HRMS, Labor Law","Flexible work hours, MacBook Pro, Maternity/paternity leave, Gym membership",Human Resources
Content Strategist,Unilever,Bangalore / Remote,Full-Time,4+ years,₹29–79 LPA,~12,5,"CRM, Video Marketing, HubSpot, Influencer Marketing, Brand Strategy, SEO, Meta Ads","Marketing Automation, Adobe Suite, Email Marketing","Gym membership, Annual performance bonus, Flexible work hours, Remote-first culture",Marketing
HR Generalist,Infosys,Hyderabad / Remote,Full-Time,1+ years,₹19–51 LPA,~27,4,"Onboarding, Employee Relations, HR Analytics, Organisational Development, Talent Acquisition, Payroll, Exit Management, Succession Planning, Employer Branding, Performance Management","LinkedIn Recruiter, Labor Law, Change Management","MacBook Pro, ESOPs, Mental health support, Annual performance bonus, Free meals, Quarterly offsites",Human Resources
Performance Marketer,ShareChat,Hyderabad / Remote,Full-Time,6+ years,₹30–75 LPA,~10,4,"Social Media, Marketo, PR, Brand Strategy, Copywriting, Conversion Rate Optimisation","Affiliate Marketing, Marketing Automation, Meta Ads","Remote-first culture, ESOPs, Annual performance bonus, Gym membership, Quarterly offsites, MacBook Pro",Marketing
FP&A Analyst,Paytm,Bangalore / Remote,Full-Time,4+ years,₹23–34 LPA,~37,6,"Cash Flow Management, Auditing, IFRS, GAAP, Investment Banking, Equity Research, LBO Modeling, Valuation, SAP","Bloomberg Terminal, M&A, CA","Quarterly offsites, ₹50K learning budget, Gym membership, MacBook Pro, Annual performance bonus",Finance
CFO,IBM,Hyderabad / Remote,Full-Time,2+ years,₹28–66 LPA,~10,3,"Financial Reporting, VBA, GAAP, DCF Analysis, Bloomberg Terminal, FP&A, Due Diligence","Budgeting, Credit Analysis, Accounting","Mental health support, Health & dental insurance, Free meals, Annual performance bonus",Finance
HR Manager,MakeMyTrip,Noida / Remote,Full-Time,3+ years,₹21–71 LPA,~39,4,"HR Analytics, Exit Management, Employer Branding, Change Management, Compensation & Benefits, Payroll, Workforce Planning","Labor Law, Diversity & Inclusion, Training & Development","Free meals, Quarterly offsites, ₹50K learning budget, Remote-first culture, Mental health support, Annual performance bonus",Human Resources
Group Product Manager,InMobi,Chennai / Remote,Full-Time,7+ years,₹25–41 LPA,~11,4,"SQL, Competitive Analysis, Roadmapping, Wireframing, Amplitude, Miro, A/B Testing, OKRs, Mixpanel","JIRA, Figma, KPIs","Mental health support, MacBook Pro, Free meals, Quarterly offsites, Remote-first culture, Annual performance bonus",Product Management
Cloud Security Engineer,KPMG,Chennai / Remote,Full-Time,7+ years,₹16–29 LPA,~7,6,"DLP, Cryptography, Splunk, PKI, Forensics, Cloud Security (AWS/GCP), CISSP, ISO 27001, Vulnerability Assessment, Penetration Testing","Firewalls, CEH, Network Security","Remote-first culture, Flexible work hours, ₹50K learning budget, Free meals, Annual performance bonus",Cybersecurity
UX Designer,Apple,Hyderabad / Remote,Full-Time,8+ years,₹29–79 LPA,~29,3,"Visual Design, Accessibility (WCAG), InVision, Usability Testing, Lottie, Adobe XD","Motion Design, Design Thinking, Card Sorting","Quarterly offsites, Free meals, Mental health support, Health & dental insurance, Flexible work hours",UI/UX Design
CFO,Byju's,Chennai / Remote,Full-Time,3+ years,₹8–32 LPA,~8,4,"FP&A, CA, QuickBooks, Auditing, SAP, Credit Analysis, Treasury, Financial Modeling, M&A","IFRS, CFA, Risk Analysis","ESOPs, Mental health support, Remote-first culture, Maternity/paternity leave, Quarterly offsites",Finance
Audit Associate,Meesho,Chennai / Remote,Full-Time,3+ years,₹24–61 LPA,~5,4,"Financial Modeling, Cash Flow Management, Bloomberg Terminal, Equity Research, Due Diligence, Tax Compliance, IFRS, Tally, CFA","DCF Analysis, Credit Analysis, Excel","ESOPs, Annual performance bonus, Flexible work hours, MacBook Pro",Finance
Cloud Architect,Salesforce,Mumbai / Remote,Full-Time,1+ years,₹17–44 LPA,~10,5,"AWS, Helm, Nginx, EKS, GCP, Python, Prometheus","Bash, Azure, Consul","Annual performance bonus, Quarterly offsites, MacBook Pro, Health & dental insurance",DevOps
Full Stack Developer,Freshworks,Jaipur / Remote,Full-Time,7+ years,₹9–56 LPA,~37,3,"GitHub Actions, REST APIs, TypeScript, Rust, gRPC, Jenkins, Kubernetes, GCP, Python","PostgreSQL, Terraform, Kafka","Annual performance bonus, MacBook Pro, Maternity/paternity leave, Free meals, Mental health support",Software Engineering
Security Engineer,Mphasis,Kolkata / Remote,Full-Time,3+ years,₹17–40 LPA,~37,5,"NIST Framework, Cloud Security (AWS/GCP), Penetration Testing, IAM, Wireshark, Cryptography, Incident Response, CEH, Vulnerability Assessment, SOC Operations","OSCP, ISO 27001, Splunk","Flexible work hours, Gym membership, ESOPs, Free meals, Maternity/paternity leave",Cybersecurity
Performance Marketer,SAP,Hyderabad / Remote,Full-Time,1+ years,₹15–37 LPA,~5,3,"Copywriting, Market Research, Content Marketing, Google Analytics, Influencer Marketing, Google Ads, Brand Strategy, Meta Ads, Marketo","SEO, Social Media, PR","Free meals, MacBook Pro, ESOPs, ₹50K learning budget",Marketing
Account Executive,PwC,Noida / Remote,Full-Time,6+ years,₹17–31 LPA,~5,3,"Solution Selling, Proposal Writing, LinkedIn Sales Navigator, MEDDIC, Cold Outreach, Customer Success, Revenue Forecasting, SDR, Channel Partnerships","Contract Negotiation, Cross-selling, SPIN Selling","Free meals, Annual performance bonus, Health & dental insurance, MacBook Pro, Mental health support, Quarterly offsites",Sales
Marketing Lead,Morgan Stanley,Mumbai / Remote,Full-Time,4+ years,₹13–48 LPA,~9,3,"HubSpot, Meta Ads, PR, Marketo, Growth Hacking, Market Research, Adobe Suite, Influencer Marketing, PPC, LinkedIn Ads","Email Marketing, Marketing Automation, Google Ads","Flexible work hours, Quarterly offsites, Gym membership, Remote-first culture, Health & dental insurance, Mental health support",Marketing
Platform Engineer,Freshworks,Gurgaon / Remote,Full-Time,1+ years,₹26–63 LPA,~32,3,"Bash, Datadog, Grafana, Python, GKE, GitLab CI, Istio, Linux, Service Mesh","Ansible, Jenkins, FluxCD","ESOPs, Gym membership, Quarterly offsites, Flexible work hours, Maternity/paternity leave, Mental health support",DevOps
Senior Software Engineer,Ola,Ahmedabad / Remote,Full-Time,1+ years,₹30–65 LPA,~25,3,"System Design, GraphQL, Java, Git, GitHub Actions, AWS","Rust, MongoDB, Redis","Annual performance bonus, Maternity/paternity leave, Health & dental insurance, Gym membership",Software Engineering
CISO,Cognizant,Bangalore / Remote,Full-Time,5+ years,₹25–37 LPA,~21,4,"SOC Operations, PKI, CEH, Zero Trust, Incident Response, Splunk, Cryptography, Python, CISSP","Penetration Testing, Bash, Metasploit","Health & dental insurance, Free meals, Gym membership, ESOPs, Annual performance bonus",Cybersecurity
Business Development Manager,Netflix,Jaipur / Remote,Full-Time,1+ years,₹25–44 LPA,~23,5,"SDR, Demo Skills, CRM, Proposal Writing, SaaS Sales, Pipeline Management, LinkedIn Sales Navigator, HubSpot, B2B Sales","BDR, Lead Generation, Account Management","₹50K learning budget, MacBook Pro, Health & dental insurance, Gym membership, Quarterly offsites, Annual performance bonus",Sales
Cloud Architect,Swiggy,Noida / Remote,Full-Time,5+ years,₹20–52 LPA,~23,3,"FluxCD, AWS, Kubernetes, Vault, New Relic, Infrastructure as Code, Python, Grafana, HAProxy, Service Mesh","Consul, Pulumi, Ansible","Gym membership, Flexible work hours, Remote-first culture, Quarterly offsites",DevOps
Computer Vision Engineer,Mphasis,Mumbai / Remote,Full-Time,4+ years,₹28–45 LPA,~23,6,"PyTorch, Tableau, BERT, Hypothesis Testing, Pandas, Kafka, Transformers, LightGBM, Python, BigQuery","A/B Testing, PostgreSQL, Hadoop","Annual performance bonus, ESOPs, MacBook Pro, ₹50K learning budget",Data Science
HR Manager,Zomato,Ahmedabad / Remote,Full-Time,1+ years,₹29–52 LPA,~14,4,"Employee Relations, SuccessFactors, Labor Law, Payroll, HRMS, Talent Acquisition, SAP HR","Exit Management, Workforce Planning, Onboarding","Remote-first culture, Free meals, Quarterly offsites, Annual performance bonus, Gym membership",Human Resources
Software Engineer,HCL,Gurgaon / Remote,Full-Time,1+ years,₹23–58 LPA,~10,5,"Terraform, CI/CD, JavaScript, Python, AWS, System Design, FastAPI, TypeScript","Elasticsearch, Node.js, Jenkins","Health & dental insurance, ₹50K learning budget, Maternity/paternity leave, Flexible work hours",Software Engineering
CMO,Infosys,Delhi / Remote,Full-Time,8+ years,₹15–46 LPA,~19,4,"Brand Strategy, Content Marketing, Video Marketing, Marketo, Affiliate Marketing, Google Analytics, Google Ads","Social Media, Adobe Suite, PR","Gym membership, Mental health support, Flexible work hours, Annual performance bonus, Maternity/paternity leave",Marketing
Marketing Lead,Google,Noida / Remote,Full-Time,3+ years,₹25–60 LPA,~14,3,"Growth Hacking, Google Ads, Salesforce, Adobe Suite, Community Management, LinkedIn Ads, Brand Strategy, Google Analytics","Market Research, PPC, Email Marketing","Flexible work hours, MacBook Pro, Gym membership, Health & dental insurance, Maternity/paternity leave, Quarterly offsites",Marketing
Digital Marketing Manager,Microsoft,Ahmedabad / Remote,Full-Time,9+ years,₹25–74 LPA,~12,4,"Growth Hacking, Brand Strategy, Google Ads, Copywriting, PPC, Email Marketing, Adobe Suite","Content Marketing, Social Media, HubSpot","Annual performance bonus, ₹50K learning budget, Maternity/paternity leave, Flexible work hours",Marketing
Principal Engineer,Meta,Kolkata / Remote,Full-Time,8+ years,₹29–41 LPA,~40,6,"Git, RabbitMQ, Redis, Terraform, JavaScript, gRPC, C++, Spring Boot","Vue.js, Azure, PostgreSQL","₹50K learning budget, Annual performance bonus, Free meals, Mental health support, Maternity/paternity leave",Software Engineering
SOC Analyst,Cognizant,Pune / Remote,Full-Time,7+ years,₹16–58 LPA,~33,3,"PKI, CEH, Python, OWASP Top 10, SIEM, Penetration Testing","Metasploit, Vulnerability Assessment, CISSP","MacBook Pro, ESOPs, Mental health support, Annual performance bonus, Health & dental insurance, Free meals",Cybersecurity
Staff Engineer,Meta,Ahmedabad / Remote,Full-Time,6+ years,₹22–47 LPA,~9,6,"gRPC, Microservices, Java, Django, Spring Boot, Go, FastAPI, C++, TypeScript, GitHub Actions","Jenkins, Git, CI/CD","Remote-first culture, Health & dental insurance, Annual performance bonus, ₹50K learning budget, Mental health support, Flexible work hours",Software Engineering
ML Engineer,Adobe,Noida / Remote,Full-Time,2+ years,₹21–50 LPA,~20,3,"Keras, Statistics, A/B Testing, TensorFlow, Kafka, Time Series, dbt, Kubeflow","Pandas, Looker, Python","Health & dental insurance, ₹50K learning budget, Mental health support, Annual performance bonus, Maternity/paternity leave",Data Science
Content Strategist,Atlassian,Ahmedabad / Remote,Full-Time,7+ years,₹20–32 LPA,~28,4,"HubSpot, Market Research, Content Marketing, Community Management, Brand Strategy, Marketing Automation, SEM, Influencer Marketing","Affiliate Marketing, PR, LinkedIn Ads","Maternity/paternity leave, ₹50K learning budget, ESOPs, Gym membership, Quarterly offsites",Marketing
Data Scientist,Ola,Mumbai / Remote,Full-Time,7+ years,₹9–22 LPA,~28,3,"Hypothesis Testing, Python, R, BERT, Power BI, SQL, Transformers, Tableau, Data Modeling","Keras, Airflow, BigQuery","Health & dental insurance, Annual performance bonus, Maternity/paternity leave, Free meals, Flexible work hours",Data Science
Computer Vision Engineer,Adobe,Kochi / Remote,Full-Time,1+ years,₹30–62 LPA,~34,3,"Tableau, Scikit-learn, Computer Vision, Redshift, NLP, Statistics, MLflow","A/B Testing, Hadoop, PostgreSQL","Gym membership, Annual performance bonus, Flexible work hours, Mental health support",Data Science
DevOps Engineer,Swiggy,Chennai / Remote,Full-Time,2+ years,₹9–22 LPA,~17,4,"Bash, Kubernetes, Loki, ArgoCD, GKE, AWS, GitLab CI","New Relic, Pulumi, Istio","ESOPs, Annual performance bonus, ₹50K learning budget, Quarterly offsites",DevOps
ML Engineer,Zerodha,Kochi / Remote,Full-Time,9+ years,₹18–31 LPA,~40,4,"R, Python, Time Series, Power BI, Kubeflow, SQL","Hive, Hadoop, Redshift","Mental health support, Health & dental insurance, Gym membership, Free meals, ₹50K learning budget, Flexible work hours",Data Science
Digital Marketing Manager,Deloitte,Hyderabad / Remote,Full-Time,9+ years,₹14–45 LPA,~29,3,"Conversion Rate Optimisation, Google Ads, SEM, LinkedIn Ads, Brand Strategy, PR, HubSpot","PPC, Community Management, SEO","Remote-first culture, ₹50K learning budget, Flexible work hours, MacBook Pro, Health & dental insurance, Maternity/paternity leave",Marketing
ML Engineer,PwC,Bangalore / Remote,Full-Time,8+ years,₹16–50 LPA,~15,6,"Hypothesis Testing, Feature Engineering, SQL, Pandas, dbt, Python, Time Series","Airflow, BigQuery, BERT","Free meals, Quarterly offsites, Annual performance bonus, Remote-first culture, ₹50K learning budget",Data Science
Director of Product,boAt,Mumbai / Remote,Full-Time,2+ years,₹8–21 LPA,~29,4,"Scrum, Growth Hacking, JIRA, MoSCoW, Go-to-Market Strategy, Product Analytics","Mixpanel, Competitive Analysis, Agile","Flexible work hours, ₹50K learning budget, Health & dental insurance, ESOPs, Gym membership",Product Management
Senior DevOps Engineer,Cognizant,Hyderabad / Remote,Full-Time,3+ years,₹21–55 LPA,~18,4,"CloudFormation, ArgoCD, Infrastructure as Code, Docker, Ansible, Azure","Pulumi, Vault, HAProxy","₹50K learning budget, Remote-first culture, Free meals, Mental health support, ESOPs",DevOps
Content Strategist,ShareChat,Mumbai / Remote,Full-Time,4+ years,₹12–41 LPA,~32,4,"Google Ads, Marketing Automation, Content Marketing, Influencer Marketing, Programmatic Advertising, Video Marketing","Community Management, Affiliate Marketing, PR","Remote-first culture, Gym membership, MacBook Pro, ₹50K learning budget",Marketing
Data Scientist,Morgan Stanley,Mumbai / Remote,Full-Time,3+ years,₹18–29 LPA,~29,6,"LightGBM, Feature Engineering, R, Kubeflow, Keras, Computer Vision, Hypothesis Testing","Hive, BERT, MLflow","Health & dental insurance, Annual performance bonus, Mental health support, ₹50K learning budget",Data Science
Research Scientist,TCS,Jaipur / Remote,Full-Time,3+ years,₹26–42 LPA,~24,6,"Statistics, SQL, Pandas, Spark, Feature Engineering, Transformers","dbt, BERT, Looker","Health & dental insurance, Mental health support, Annual performance bonus, Flexible work hours",Data Science
HR Business Partner,Capgemini,Delhi / Remote,Full-Time,2+ years,₹18–35 LPA,~9,5,"HRIS, Employer Branding, Labor Law, Diversity & Inclusion, Onboarding, SAP HR, Exit Management","Training & Development, SuccessFactors, LinkedIn Recruiter","ESOPs, Gym membership, Quarterly offsites, Maternity/paternity leave",Human Resources
Content Strategist,Ola,Hyderabad / Remote,Full-Time,9+ years,₹18–34 LPA,~35,6,"SEM, Market Research, Adobe Suite, PPC, Affiliate Marketing, CRM","LinkedIn Ads, Influencer Marketing, SEO","Gym membership, Remote-first culture, Flexible work hours, ₹50K learning budget",Marketing
Product Designer,Capgemini,Gurgaon / Remote,Full-Time,4+ years,₹15–44 LPA,~28,6,"Design Thinking, Information Architecture, Adobe XD, Design Systems, Sketch, Figma, Wireframing, Accessibility (WCAG), Prototyping","InVision, User Flows, Motion Design","₹50K learning budget, Free meals, Quarterly offsites, MacBook Pro",UI/UX Design
Sales Director,Freshworks,Ahmedabad / Remote,Full-Time,1+ years,₹18–44 LPA,~30,4,"SDR, SaaS Sales, Contract Negotiation, Channel Partnerships, Customer Success, BDR, Cold Outreach, Demo Skills, Enterprise Sales","Salesforce, Account Management, Revenue Forecasting","Remote-first culture, ₹50K learning budget, Maternity/paternity leave, Annual performance bonus",Sales
Finance Manager,Infosys,Hyderabad / Remote,Full-Time,8+ years,₹11–43 LPA,~33,5,"Oracle Financials, Bloomberg Terminal, Auditing, IFRS, Equity Research, Accounting, QuickBooks, Credit Analysis, Investment Banking, M&A","CFA, Financial Modeling, Tally","Quarterly offsites, ₹50K learning budget, Gym membership, Health & dental insurance, Mental health support, Flexible work hours",Finance
InfoSec Manager,Salesforce,Bangalore / Remote,Full-Time,4+ years,₹8–35 LPA,~8,4,"Incident Response, OSCP, ISO 27001, Metasploit, Burp Suite, Forensics, Zero Trust, IAM, Splunk, Cloud Security (AWS/GCP)","SOC Operations, Vulnerability Assessment, Bash","MacBook Pro, ₹50K learning budget, Mental health support, Quarterly offsites, Remote-first culture",Cybersecurity
Associate PM,Browserstack,Delhi / Remote,Full-Time,4+ years,₹23–38 LPA,~32,4,"Amplitude, OKRs, RICE Framework, Feature Prioritisation, Confluence, PRD Writing, Customer Discovery, A/B Testing","Roadmapping, Competitive Analysis, Miro","Quarterly offsites, Mental health support, ESOPs, ₹50K learning budget, Maternity/paternity leave",Product Management
Product Manager,Morgan Stanley,Kochi / Remote,Full-Time,8+ years,₹8–56 LPA,~39,4,"Amplitude, Usability Testing, JIRA, RICE Framework, Go-to-Market Strategy, Mixpanel, Scrum, Product Analytics, Growth Hacking","Roadmapping, Stakeholder Management, Confluence","Free meals, Health & dental insurance, MacBook Pro, Quarterly offsites",Product Management
Growth Manager,Mphasis,Delhi / Remote,Full-Time,4+ years,₹8–41 LPA,~26,4,"Growth Hacking, Programmatic Advertising, Copywriting, Salesforce, Adobe Suite, CRM, Meta Ads, Google Analytics, Social Media, Google Ads","SEM, Video Marketing, Content Marketing","₹50K learning budget, Remote-first culture, Gym membership, MacBook Pro, Quarterly offsites",Marketing
CMO,PhonePe,Delhi / Remote,Full-Time,3+ years,₹29–75 LPA,~13,5,"Brand Strategy, Copywriting, Programmatic Advertising, PPC, Market Research, Google Ads","Meta Ads, LinkedIn Ads, Salesforce","Flexible work hours, Annual performance bonus, Gym membership, MacBook Pro",Marketing
Principal Engineer,Browserstack,Pune / Remote,Full-Time,5+ years,₹19–35 LPA,~6,5,"GitHub Actions, Node.js, CI/CD, Angular, gRPC, System Design, Azure","Redis, Kafka, JavaScript","Quarterly offsites, ₹50K learning budget, Mental health support, Flexible work hours",Software Engineering
InfoSec Manager,KPMG,Bangalore / Remote,Full-Time,6+ years,₹19–57 LPA,~26,4,"IAM, PKI, Forensics, OWASP Top 10, Firewalls, Cloud Security (AWS/GCP), Splunk, SIEM, Bash, Burp Suite","Vulnerability Assessment, Penetration Testing, OSCP","Quarterly offsites, Free meals, Flexible work hours, Gym membership, Maternity/paternity leave, Annual performance bonus",Cybersecurity
